epoch,train_loss,val_loss,val_exact_match,val_exact_correct,val_exact_total
1,4.896120449779325,1.5255118151928515,0.002127659574468085,2,940
2,1.2850156007738436,0.6942956145773542,0.02021276595744681,19,940
3,0.7241686856248779,0.4575762944969725,0.04468085106382979,42,940
4,0.4974750627955086,0.3452647530493584,0.0925531914893617,87,940
5,0.37444977014146924,0.28786653236664356,0.11702127659574468,110,940
6,0.305922410756857,0.2602201012617096,0.13936170212765958,131,940
7,0.2660876765602421,0.24386318173814328,0.15,141,940
8,0.24430844866544063,0.24011391318858938,0.15212765957446808,143,940
